#: table_doi: 10.17182/hepdata.113470.v1/t20
#: name: Fig 5b unbinned
#: description: Mass distributions for selected $D^+ D^0 \pi^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0 \pi^+}$ [MEV],Weight []
3878.01218,1.15989
3880.14889,1.32921
3880.2948,0.11698
3880.32436,-0.76399
3880.36227,-0.51777
3880.40185,0.4833
3880.40328,-0.41053
3880.43785,1.54813
3880.56946,1.05237
3880.97525,1.50496
3880.98478,1.39295
3881.18911,-0.62514
3881.4981,1.22761
3881.54769,1.08292
3881.72579,-0.6229
3882.02739,-0.30813
3882.04813,-0.6296
3882.24578,0.21938
3882.2937,1.09826
3882.2968,-0.75677
3882.38287,-0.55153
3882.53736,-0.68963
3882.77864,1.71512
3882.87187,1.68563
3883.32343,-0.42246
3883.54492,0.70713
3883.54492,1.16303
3883.58188,1.71149
3883.7173,-0.42246
3883.75402,-0.44136
3883.89111,-2.65349
3883.94284,-0.75594
3883.97718,-0.52687
3883.9879,1.20358
3884.09162,0.33962
3884.12094,-0.62976
3884.19294,-0.7485
3884.3143,-0.7221
3884.3236,-0.33541
3884.37128,-0.6049
3884.39369,0.49085
3884.77206,-0.57202
3884.80163,-0.59276
3884.89509,-0.76448
3884.94253,-0.65815
3884.96757,1.70174
3885.03408,-0.22087
3885.0534,1.70174
3885.09345,1.10085
3885.1397,-0.7685
3885.14376,-0.25578
3885.15902,-0.51986
3885.17356,-1.00374
3885.36239,1.59212
3885.44607,1.05502
3885.47134,1.90755
3885.48112,-0.59276
3885.57959,-0.55153
3885.67305,-0.68987
3885.67448,-0.72308
3885.70714,1.61203
3885.75745,0.35181
3885.77032,1.71835
3885.92124,0.25229
3885.95867,1.47836
3885.97322,1.66901
3886.02138,-0.50268
3886.10244,-0.37334
3886.12437,-0.68031
3886.45458,0.70713
3886.50632,1.36489
3886.55925,0.48675
3886.64556,-0.25457
3886.6818,1.60225
3886.76548,-0.47004
3886.90496,-0.57839
3886.96623,-4.04602
3886.99818,0.75803
3887.01701,1.48949
3887.08138,1.25283
3887.19892,1.53881
3887.21681,1.17842
3887.21991,-0.62278
3887.59875,0.89244
3887.63857,1.642
3887.68935,-0.44271
3887.70819,-0.12467
3887.80975,1.58165
3888.06987,1.7275
3888.07678,0.91504
3888.17382,-0.76908
3888.19146,-0.71315
3888.23986,-2.11245
3888.47542,-0.27023
3888.58604,0.67661
3888.62491,1.05526
3888.64875,1.63468
3888.72385,-0.34841
3888.91649,1.51426
3888.99112,-0.68392
3888.99994,-0.2887
3889.01925,0.42336
3889.02092,1.48304
3889.32776,1.58035
3889.47844,1.38945
3889.48512,-0.35695
3889.52565,-0.75685
3889.69636,-0.55022
3889.70566,-0.75669
3889.72759,-0.64669
3889.73761,1.521
3889.74738,1.43016
3889.79435,1.39835
3889.83631,-0.65628
3889.95552,1.44082
3889.97698,1.68933
3890.03158,1.62461
3890.05446,-0.70663
3890.12408,0.42132
3890.13958,-0.70566
3890.1937,0.71964
3890.3017,0.49332
3890.35606,0.47805
3890.48123,1.55428
3890.48886,-0.61461
3890.52677,-0.35695
3890.72871,0.23268
3890.77544,-0.12032
3890.91182,-0.51362
3891.05439,-0.55048
3891.44659,-0.03546
3891.62826,-0.02678
3891.67929,1.44442
3891.7625,-0.19929
3891.86311,-0.62215
3891.91985,1.5897
3892.02213,1.45362
3892.26508,0.02807
3892.27748,1.71719
3892.30561,-0.72177
3892.32469,0.06808
3892.39168,-0.70663
3892.57312,1.69792
3892.72785,-0.47004
3892.77601,-0.62148
3892.77911,-0.60747
3892.97509,-0.246
3893.00275,1.53868
3893.05425,-0.59932
3893.0614,2.67593
3893.06498,0.10254
3893.19181,1.53799
3893.30578,-0.71975
3893.327,-0.73384
3893.4803,0.17082
3893.51106,1.45362
3893.54324,1.2652
3893.5523,-0.61184
3893.56399,1.07111
3893.67747,0.63773
3893.82792,-1.53877
3893.85652,-0.62294
3893.86797,1.36904
3893.91208,0.28885
3893.94879,-0.52807
3894.09041,0.24877
3894.14883,-0.57307
3894.1648,-0.11441
3894.29021,-0.61766
3894.37175,-0.44911
3894.4571,0.91998
3894.47665,1.65451
3894.66,1.64339
3894.66786,-0.36784
3894.68837,1.59501
3894.78207,-3.48397
3894.83428,0.68845
3894.92989,1.11822
3895.08676,-0.32846
3895.31732,1.66187
3895.45322,1.50754
3895.52236,-0.30269
3895.64133,0.67782
3895.71047,-0.52838
3895.73407,1.45328
3895.77007,1.58327
3895.80083,0.00702
3895.81442,-0.79794
3895.85686,-0.75983
3895.86353,-0.49837
3895.93744,1.49129
3896.02423,-0.75559
3896.0619,-0.74322
3896.1184,-0.40379
3896.12865,-0.76638
3896.22784,0.68535
3896.31224,-0.76252
3896.34943,-0.75565
3896.44456,1.60035
3896.4982,-0.44911
3896.56973,-0.18461
3896.57188,1.7015
3896.63696,1.141
3896.662,-0.60942
3896.72566,1.04998
3896.74926,0.02807
3896.82889,-0.65363
3896.99197,-0.72214
3897.00627,0.17696
3897.01843,1.46271
3897.02272,1.39636
3897.0232,0.7325
3897.20368,0.2434
3897.41015,1.6541
3897.42708,-0.07591
3897.47238,-0.61781
3897.49598,0.59733
3897.55464,-0.43697
3897.55535,1.45317
3897.57156,1.64694
3897.62402,1.69692
3897.71295,-0.33089
3897.7778,1.47804
3897.789,0.93343
3897.80688,-0.7596
3897.84312,1.1385
3897.87221,-0.30269
3897.96758,-0.38727
3897.97092,-0.51723
3898.01764,-3.48397
3898.13566,1.62869
3898.20242,-0.06045
3898.27371,1.2746
3898.44155,1.72565
3898.50688,-0.61903
3898.51141,-0.64583
3898.64588,-0.76631
3898.65017,-0.75705
3898.66018,-0.41731
3898.67544,-0.53163
3898.69618,-0.53644
3898.76914,-0.73749
3898.79608,1.45322
3899.0469,1.39703
3899.13917,-0.56757
3899.16277,-0.13635
3899.17088,-0.70184
3899.17111,-0.0979
3899.22881,-0.64651
3899.23286,1.153
3899.34158,-0.42919
3899.42098,0.48882
3899.50108,-0.60601
3899.51682,1.72615
3899.55163,-0.48689
3899.6942,1.26956
3899.76549,0.38155
3899.77217,1.52411
3899.84417,-0.61353
3899.99914,-1.46355
3900.01082,1.20535
3900.03991,0.67782
3900.08783,1.72615
3900.10309,1.57231
3900.13385,1.24648
3900.17033,-0.77148
3900.19989,1.58414
3900.29621,-0.71882
3900.67315,1.59749
3900.79355,1.60918
3900.8429,-0.75423
3900.87724,-0.34896
3900.95878,-0.76945
3901.01218,1.07421
3901.04365,-0.56913
3901.11494,-0.05606
3901.23796,0.01244
3901.24702,-0.48865
3901.3021,-0.6704
3901.57652,1.70654
3901.63064,-0.72469
3901.67093,1.58383
3901.70145,0.426
3901.76702,1.18291
3901.9649,-0.67374
3902.06218,0.71008
3902.08507,-0.44911
3902.10628,1.59454
3902.16279,1.69166
3902.23956,-0.75045
3902.3037,1.29885
3902.41432,1.44544
3902.43387,-0.33348
3902.4713,0.52117
3902.49038,-0.44547
3902.49467,-0.5289
3902.55523,1.62861
3902.62151,-0.57692
3902.76241,-0.34922
3902.88734,1.70494
3902.97151,-0.13635
3903.02825,1.09125
3903.07093,-0.64154
3903.17368,-0.61075
3903.17464,0.48921
3903.31554,-0.57337
3903.31936,-0.43748
3903.42331,0.32332
3903.5089,1.65363
3903.69558,1.55875
3903.72419,0.32562
3903.78308,-0.63988
3903.86486,-0.75045
3903.86939,-0.60717
3903.89752,-0.75036
3903.96118,-1.09233
3903.99408,0.8661
3904.02794,0.11451
3904.03676,0.2901
3904.0699,1.6842
3904.12331,-0.72325
3904.21557,-0.48947
3904.54817,0.51372
3904.56891,0.57171
3904.5999,-0.48395
3904.6669,-0.59587
3904.6855,0.49798
3904.83236,1.11698
3904.84762,1.67114
3904.88052,-0.75045
3905.00522,-1.4728
3905.02024,-0.35542
3905.10321,-0.34484
3905.12657,-0.72175
3905.16376,-0.72325
3905.16686,1.51899
3905.19667,1.30996
3905.20692,-0.60853
3905.23958,-0.22125
3905.29346,-0.47483
3905.32756,1.59678
3905.39646,1.69964
3905.47895,-0.5522
3905.5872,0.0029
3905.65658,-0.14418
3905.69377,-1.21978
3905.77936,-0.70301
3906.03066,-0.47478
3906.05664,-0.75357
3906.08263,1.19725
3906.10337,0.16869
3906.10504,0.36251
3906.10743,1.66925
3906.12841,0.89294
3906.24094,1.5204
3906.33035,1.68444
3906.36897,1.4869
3906.37684,0.98474
3906.40402,1.32731
3906.43072,1.12118
3906.46028,-0.26682
3906.46911,0.13471
3906.50296,0.13064
3906.55065,-0.55869
3906.62217,-0.68396
3906.64625,0.30141
3906.73971,-0.29762
3906.75783,1.62969
3906.79097,-0.69335
3906.82507,0.46353
3906.84366,-0.58049
3906.90446,1.53137
3906.92949,-0.23716
3907.10688,-0.42466
3907.11999,0.57469
3907.17125,0.96576
3907.20058,1.42312
3907.32193,-0.60717
3907.40299,1.43992
3907.48453,-0.74844
3907.66716,-0.00387
3907.66835,0.80029
3907.69005,1.73004
3907.73487,-4.98051
3907.7673,-1.06397
3907.81951,-0.27645
3907.82881,-0.22069
3908.13351,-0.24788
3908.1986,-0.22426
3908.2582,-0.01977
3908.28133,-0.61699
3908.29253,1.021
3908.42462,1.70816
3908.42462,-0.64232
3908.4549,1.7247
3908.53167,0.67224
3908.64182,-0.61419
3908.65421,-5.85795
3908.69117,0.18845
3908.70476,0.46353
3908.74624,0.50361
3908.81109,1.21848
3908.81658,-1.06397
3908.84376,-0.55869
3908.85305,0.39401
3908.92339,1.45298
3909.08194,-0.69444
3909.10268,0.13471
3909.16014,-0.16022
3909.23095,-1.37276
3909.42287,1.39952
3909.45768,1.57248
3909.48916,-0.59739
3909.52921,-0.61817
3909.53159,-0.63792
3909.5397,-0.6166
3909.56187,1.68418
3909.56569,-0.75916
3909.61266,0.36754
3909.652,-0.62257
3909.79147,-0.1582
3909.80411,0.19066
3909.81126,-0.42784
3909.84011,1.3653
3909.8475,1.39138
3909.86133,1.54738
3909.93142,-0.74375
3909.95789,0.18379
3910.02417,-0.38981
3910.08544,-0.6036
3910.35485,-0.58408
3910.39252,0.8035
3910.42781,1.70464
3910.48098,-0.76586
3910.48551,-0.71423
3910.48884,-0.33551
3910.49838,-0.56104
3910.51555,1.62924
3910.55632,1.43102
3910.68149,1.52551
3910.75468,1.12118
3910.86698,-0.59521
3910.8746,1.57519
3910.87985,0.96279
3910.99286,-0.51362
3910.99715,1.44777
3911.0074,0.81739
3911.06057,-1.66816
3911.1023,-0.10711
3911.19719,-1.09233
3911.20863,1.50522
3911.34548,1.26964
3911.39197,1.57146
3911.44228,1.56712
3911.55648,1.69706
3911.64756,0.01624
3911.73458,-0.53137
3911.80778,-0.67818
3911.85284,1.41007
3911.88812,-0.43995
3911.89861,-0.75717
3911.91912,-0.58004
3911.93676,0.42523
3911.99994,1.12533
3912.04476,-1.5199
3912.07504,1.06727
