#: table_doi: 10.17182/hepdata.113470.v1/t16
#: name: Fig 3 unbinned
#: description: Mass distribution for $D^0 \pi^+$ pairs from selected $D^0 D^0 \pi^+$ candidates with a mass below the $D^{*+}D^0$ mass threshold with non-$D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_3_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 \pi^+}$ [MEV],Weight []
2004.94623,1.01969
2005.13148,0.98259
2005.53393,0.14533
2005.55277,0.98259
2005.83672,1.13906
2005.86057,1.08369
2005.93209,-0.39728
2005.98836,1.10788
2006.00147,-0.39728
2006.19221,0.94201
2006.34837,1.01969
2006.4745,1.10033
2006.58226,0.94201
2006.59156,1.07608
2006.60491,1.12326
2006.62136,1.08369
2006.77228,1.17973
2006.79112,0.14533
2006.81329,1.12326
2006.96111,0.7074
2007.03049,1.17894
2007.05934,1.10788
2007.1013,1.08387
2007.15184,1.17894
2007.17211,1.08387
2007.20811,1.13906
2007.49731,1.07608
2007.5016,0.98617
2007.66969,1.10033
2007.70164,0.91
2007.74074,0.74523
2007.75075,1.08239
2007.76553,-0.47649
2007.77125,0.7074
2007.80868,0.97082
2007.83277,1.1575
2007.84326,1.16912
2007.85422,0.54589
2007.93171,0.64396
2008.04734,1.05632
2008.05592,1.08239
2008.11458,1.18681
2008.1253,1.13435
2008.1315,1.16932
2008.13556,1.02025
2008.21161,1.14963
2008.25548,1.17973
2008.27098,0.99406
2008.28171,1.1575
2008.29458,0.99046
2008.30674,1.04868
2008.3406,1.18378
2008.35037,0.91
2008.35204,0.97082
2008.37302,1.14772
2008.37684,-0.3639
2008.38828,0.98617
2008.41141,0.98155
2008.42452,1.2007
2008.47364,1.18681
2008.49247,-0.47396
2008.49628,1.1169
2008.52132,1.18819
2008.5392,1.19816
2008.57902,1.04868
2008.5876,1.02025
2008.64267,1.2007
2008.69417,1.08518
2008.70824,1.1169
2008.7142,1.10008
2008.76164,1.14963
2008.77905,-0.50782
2008.78882,1.15604
2008.79955,1.16932
2008.8017,1.20023
2008.8067,1.00118
2008.85749,1.19818
2008.85844,0.8881
2008.8644,0.98155
2008.88348,1.1471
2008.95047,1.1766
2008.95143,0.01988
2008.95309,-0.47649
2008.9581,0.11631
2008.97765,0.82265
2008.9941,0.79035
2009.00769,0.6617
2009.01413,1.10324
2009.01604,0.64396
2009.04131,1.18819
2009.07087,1.20426
2009.07803,1.18983
2009.10139,0.74523
2009.10401,1.09229
2009.1114,0.6914
2009.11736,1.16912
2009.1176,1.19896
2009.14002,1.037
2009.14121,1.20273
2009.14526,1.17343
2009.14764,0.9867
2009.15909,1.1766
2009.17125,1.08518
2009.19914,0.87985
2009.22751,1.19991
2009.2411,0.82265
2009.25517,1.20362
2009.26804,-0.47396
2009.27162,1.14772
2009.27258,1.19001
2009.28307,1.19793
2009.29451,0.11631
2009.29522,1.19001
2009.30238,0.99406
2009.30405,1.20362
2009.31048,1.10008
2009.31215,1.00118
2009.31764,0.54589
2009.31883,0.01988
2009.3658,0.87985
2009.377,1.13435
2009.38058,1.05988
2009.38272,1.10324
2009.40228,1.14877
2009.42135,1.037
2009.4409,1.05632
2009.45234,1.19793
2009.46069,1.14465
2009.4769,1.20502
2009.48811,1.18983
2009.49001,1.20273
2009.49931,1.14465
2009.51123,0.99046
2009.51648,1.14877
2009.52888,0.93102
2009.53531,1.15604
2009.5377,1.18378
2009.54056,1.1471
2009.54652,0.9867
2009.56035,0.6914
2009.57227,1.20426
2009.5849,1.08625
2009.60398,0.93102
2009.60636,-0.3639
2009.60946,1.17343
2009.655,1.08625
2009.65881,1.18492
2009.70173,1.09229
2009.72581,0.6617
2009.727,1.20502
2009.74894,1.19818
2009.75919,0.97205
2009.76777,-0.50782
2009.79662,1.18492
2009.80687,1.19991
2009.82213,0.79035
2009.83357,0.8881
2009.86862,1.19896
2009.90677,1.19816
2009.93276,1.20023
2009.94921,1.05988
2010.11324,0.97205

