#: table_doi: 10.17182/hepdata.113470.v1/t17
#: name: Fig 4a unbinned
#: description: $D^0 D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^0}$ [MEV],Weight []
3729.69365,1.06277
3729.71916,1.25906
3729.72369,1.23625
3729.72417,1.37475
3729.72488,1.23326
3729.72512,1.35532
3729.73657,1.36965
3729.73943,0.70708
3729.74563,0.94383
3729.76589,0.28085
3729.76661,1.1419
3729.76875,-0.15866
3729.77042,-0.13118
3729.77209,0.66566
3729.77471,1.32046
3729.78282,1.36194
3729.78282,1.38011
3729.78568,1.13811
3729.78926,0.35553
3729.79212,1.32151
3729.7945,1.34764
3729.8069,0.13428
3729.81739,1.23923
3729.81954,0.59
3729.82574,1.30058
3729.82621,0.97406
3729.83646,1.3881
3729.84362,-0.48858
3729.84648,1.21118
3729.85077,1.32167
3729.85482,1.3125
3729.8584,1.30769
3729.86531,1.22477
3729.8696,1.3861
3729.87056,1.28744
3729.87866,-0.35788
3729.88248,1.1873
3729.88272,0.11468
3729.88677,1.24108
3729.90179,1.13634
3729.90346,0.32592
3729.90346,0.59819
3729.91061,1.27091
3729.92134,1.29221
3729.92301,1.36204
3729.92563,1.27598
3729.93088,1.33425
3729.93326,1.20014
3729.93469,1.38102
3729.93755,-0.48162
3729.94041,0.42043
3729.9478,-0.46157
3729.94804,-0.48819
3729.95114,-0.37572
3729.95114,0.69679
3729.95567,1.29246
3729.96426,0.09445
3729.9695,1.37824
3729.97403,0.1146
3729.98166,0.58223
3729.98404,1.15874
3729.98571,-0.11477
3729.9912,1.30584
3729.99263,1.35732
3729.99477,1.31799
3730.00741,0.35026
3730.01361,1.33531
3730.02291,1.38247
3730.02291,-0.48131
3730.0241,0.88706
3730.02624,1.09284
3730.0272,-0.23927
3730.02863,1.37131
3730.02911,1.05889
3730.03411,1.03479
3730.03602,0.87549
3730.0415,1.06989
3730.0415,1.35474
3730.04532,0.88943
3730.04818,-0.38264
3730.05104,0.23471
