#: table_doi: 10.17182/hepdata.113470.v1/t18
#: name: Fig 4b unbinned
#: description: $D^+ D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0}$ [MEV],Weight []
3734.5047,-0.05806
3734.51757,0.32086
3734.54452,1.46086
3734.58242,-0.0294
3734.58314,0.83152
3734.59744,0.60669
3734.59768,1.47429
3734.5984,-0.003
3734.60102,1.32872
3734.60889,0.47969
3734.61819,-0.05173
3734.61866,1.44128
3734.63345,-0.19352
3734.64894,1.34002
3734.65157,1.41444
3734.66039,1.37136
3734.66206,1.4123
3734.67374,1.31978
3734.67374,0.12761
3734.67946,0.81138
3734.68638,-0.63054
3734.69138,0.02158
3734.69424,-0.42569
3734.69877,-0.39928
3734.70068,0.75877
3734.70306,0.8302
3734.71403,-0.65954
3734.71618,1.46625
3734.72762,0.85215
3734.73716,1.35288
3734.75504,0.87073
3734.76434,1.19241
3734.76887,1.26956
3734.77387,-0.64649
3734.77507,-0.64393
3734.78055,1.32232
3734.78126,1.4806
3734.78961,0.2779
3734.79915,-0.65312
3734.79986,0.06453
3734.80034,1.43392
3734.80082,-3e-05
3734.80296,0.11748
3734.80439,0.00948
3734.80535,0.01033
3734.80701,-0.67639
3734.81178,-0.03628
3734.82847,0.01449
3734.83491,0.95324
3734.83539,1.46592
3734.86686,0.98182
3734.87544,0.76385
3734.88236,1.33316
3734.88378,1.1763
3734.88855,1.10362
3734.90119,0.06491
3734.91573,0.94922
3734.91621,1.00056
3734.92527,0.05176
3734.93123,1.28091
3734.93409,-0.40844
3734.94148,0.00068
3734.95126,1.26721
3734.95364,-0.30767
3734.96079,1.34905
3734.97438,1.03501
3734.98273,1.20271
3734.98774,0.09308
3734.99298,0.12836
3734.99465,0.9957
3735.00085,0.78476
3735.01015,0.13089
3735.01563,-0.35974
3735.02755,1.3648
3735.0316,-0.04215
3735.03351,0.10623
3735.0378,0.05138
3735.03971,-0.60348
3735.04138,0.25153
3735.04186,1.40587
3735.06308,1.206
3735.06546,-0.12165
3735.06784,-0.47642
3735.07667,0.02275
3735.07762,1.40866
3735.0831,1.46822
3735.08573,1.2887
3735.10051,-0.59105
3735.11815,0.55403
3735.14628,1.47346
3735.14938,0.58769
3735.16607,0.04192
3735.16941,-0.50685
3735.19134,0.76204
3735.20231,1.3011
3735.20708,-0.33791
3735.22568,1.46761
3735.22854,-0.53573
3735.23188,0.12939
3735.23903,0.08491
3735.24785,1.43844
3735.24928,-0.54462
3735.25858,0.95956
3735.25858,1.38795
3735.28004,0.00355
3735.28099,0.07231
3735.28314,-0.26677
3735.28624,-0.65732
3735.2891,0.03991
3735.29363,0.04604
3735.29553,0.9471
3735.30054,0.13028
3735.30316,-0.03454
3735.32343,0.11876
3735.32891,0.54739
3735.32963,0.04117
3735.33177,1.2461
3735.35061,1.46527
3735.35371,0.90214
3735.35562,1.21899
3735.36038,0.12917
3735.36086,1.43917
3735.36324,1.37294
3735.3692,0.12159
3735.37397,0.88234
3735.37755,1.47843
3735.3878,-0.33963
3735.3909,1.04208
3735.40044,1.32283
3735.43167,1.16243
3735.43501,1.05349
3735.43572,-0.14741
3735.46386,-0.02613
3735.4641,0.14276
3735.4703,1.29774
3735.47125,1.4551
3735.49485,1.46431
3735.51393,-0.23433
3735.51416,0.69565
3735.52084,1.43237
3735.52346,0.73233
3735.53395,1.21702
3735.53634,0.21573
3735.54039,1.05314
3735.5423,0.86285
3735.54444,-0.13118
3735.54969,0.59986
3735.56352,-0.27327
3735.57472,0.82402
3735.58426,-0.40102
3735.58879,1.41145
3735.59308,0.93771
3735.60667,0.52064
3735.61144,1.17486
3735.61287,-0.01034
3735.61645,-0.52781
3735.62098,-0.25656
3735.62908,0.05274
3735.63314,1.16552
3735.63456,0.44941
3735.636,0.55924
3735.641,1.29776
3735.641,0.46952
3735.65722,1.42033
3735.66222,0.13009
3735.66484,-0.17879
3735.66675,0.15845
3735.66961,-0.29508
3735.66985,-0.57587
3735.67748,1.37422
3735.68106,0.01682
3735.68463,-0.37715
3735.68511,1.37349
3735.6863,0.10453
3735.69131,0.49367
3735.69179,1.03321
3735.69536,0.79751
3735.70252,0.13065
3735.71706,1.40508
3735.72159,0.82597
3735.7285,-0.17107
3735.7285,1.20192
3735.72922,-0.17933
3735.73184,-0.27282
3735.73303,-0.03717
3735.73947,-0.61963
3735.75139,0.17047
3735.75616,1.16238
3735.78119,-0.21849
3735.78358,-0.18182
3735.78525,0.11885
3735.79073,1.39576
3735.79526,0.44486
3735.79598,0.43619
3735.80027,-0.62973
3735.80766,-0.04792
3735.80885,1.38155
3735.811,0.13023
3735.81195,0.9801
3735.81243,1.00141
3735.81433,0.04576
3735.81815,1.076
3735.8191,0.4955
3735.82864,0.13092
3735.83102,0.10144
3735.83341,1.45812
3735.83531,1.39397
3735.83651,0.45385
3735.85224,-0.12727
3735.85439,-0.35863
3735.85582,1.09891
3735.8675,-0.06213
3735.8737,-0.56406
3735.88443,0.09038
3735.88634,0.9782
3735.89349,0.58241
3735.89969,-0.35398
3735.90326,0.02458
3735.90469,-0.34876
3735.90636,0.12626
3735.91733,1.31043
3735.91828,0.59956
3735.92067,1.27476
3735.92114,0.44743
3735.9252,-0.5293
3735.93235,0.91763
3735.94189,-0.46796
3735.94236,0.25499
3735.95238,0.13077
3735.95595,1.28547
3735.96907,0.13092
3735.98647,1.37562
3735.98933,-0.06027
3735.98981,0.1262
3735.99482,0.13
3735.99839,0.12861
3736.00054,0.78511
3736.03272,0.13088
3736.03463,-0.34841
3736.04441,0.40865
3736.05609,1.38201
3736.05752,-0.02306
3736.07087,1.44404
3736.07182,-0.58844
3736.07636,1.38783
3736.09114,1.02106
3736.09805,0.1059
3736.10258,-0.56077
3736.10449,0.99562
3736.11188,1.33696
3736.11522,0.05392
3736.12595,-0.04669
3736.12714,0.08707
3736.12809,0.9937
3736.13453,1.34579
3736.13572,1.4058
3736.14621,-0.28363
3736.16219,1.32855
3736.16362,1.0663
3736.16982,0.04349
3736.17077,0.01244
3736.17506,-0.63412
3736.17673,1.47036
3736.17864,0.98368
3736.18221,0.10168
3736.18555,0.05974
3736.18817,1.1591
3736.19437,0.01213
3736.20439,1.43137
3736.20725,0.89484
3736.21607,0.12778
3736.22131,1.40852
3736.22465,0.08576
3736.23729,-0.06531
3736.24229,-0.34768
3736.25874,1.43259
3736.28569,-0.55267
3736.29451,-0.36388
3736.29832,0.12812
3736.30571,-0.26268
3736.30881,0.11702
3736.31048,0.90155
3736.32002,0.77745
3736.33122,-0.03253
3736.34076,-0.39513
3736.34195,-0.65848
3736.35364,1.35758
3736.36389,1.48092
3736.37366,0.09306
3736.37652,0.13028
3736.3801,0.12383
3736.38868,-0.63549
3736.38892,1.40296
3736.39417,1.35289
3736.39488,-0.56496
3736.39631,1.28528
3736.40251,0.89628
3736.40466,0.08152
3736.408,-0.05338
3736.41133,0.13029
3736.42016,0.53576
3736.42302,-0.42705
3736.42349,0.96607
3736.42898,-0.59758
3736.45234,0.29486
3736.45806,-0.1106
3736.46259,0.22026
3736.48405,0.85137
3736.49788,0.06321
3736.51147,0.60071
3736.51481,0.12973
3736.52268,0.96884
3736.52506,0.08537
3736.52887,-0.35764
3736.53603,0.20451
3736.53746,1.29246
3736.53865,0.10375
3736.54008,-0.57182
3736.55891,-0.43493
3736.56702,0.1255
3736.57012,-0.48178
3736.5737,-0.59667
3736.57513,-0.48574
3736.57799,1.22942
3736.58204,0.1309
3736.59277,1.19634
3736.60183,0.0885
3736.61542,-0.02723
3736.61637,-0.03413
3736.62162,-0.2508
3736.6221,-0.36179
3736.63354,0.7775
3736.63902,0.12044
3736.64117,-0.37476
3736.64284,0.13092
3736.65357,-0.34541
3736.66048,0.02989
3736.67049,-0.1634
3736.67049,0.58715
3736.6786,-0.05385
3736.67955,-0.28209
3736.67955,1.3899
3736.68408,1.20571
3736.69624,0.13043
3736.69839,0.13059
3736.70626,0.12835
3736.71079,1.30838
3736.72318,-0.05246
3736.72581,0.96989
3736.72843,-0.66315
3736.7301,0.11845
3736.7413,-0.37488
3736.74822,0.13069
3736.76109,0.11691
3736.763,0.83553
3736.76825,-0.59223
3736.77349,0.03604
3736.77731,-0.50102
3736.78398,-0.53921
3736.7847,-0.54966
3736.80139,-0.60437
3736.80425,0.23187
3736.80687,-0.43116
3736.81188,1.1146
