#: table_doi: 10.17182/hepdata.113470.v1/t19
#: name: Fig 5a unbinned
#: description: Mass distributions for selected $D^+ D^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^+}$ [MEV],Weight []
3739.45069,0.159
3739.61711,-0.15268
3739.66169,0.15771
3739.6915,1.23524
3739.69889,0.1543
3739.73584,0.15379
3739.75015,-0.66063
3739.77971,0.06501
3739.83669,-0.08362
3739.83979,-0.63121
3739.8951,-0.24478
3739.90488,0.11926
3739.90941,0.12084
3739.92467,-0.27761
3739.9447,-0.7321
3740.00764,0.03114
3740.05771,0.1366
3740.06748,0.46288
3740.11326,-0.12801
3740.19146,0.56157
3740.22484,0.14594
3740.24701,0.15769
3740.25321,0.15682
3740.26561,1.0762
3740.28277,0.11841
3740.39531,0.05847
3740.43155,0.11972
3740.46063,0.14037
3740.48662,0.15784
3740.5026,-0.00942
3740.50999,-0.17765
3740.51285,0.15574
3740.51476,0.13756
3740.54313,0.09323
3740.5467,0.0468
3740.55242,0.22175
3740.55624,0.1589
3740.56244,0.1472
3740.59486,-0.03515
3740.67164,0.14433
3740.70883,1.56933
3740.71288,0.34078
3740.71598,-0.68399
3740.72051,-0.13469
3740.7515,-0.12134
3740.83304,-0.06173
3740.84854,-0.77958
3740.84902,-0.59189
3740.86046,-0.2058
3740.8781,0.15328
3740.88597,1.47905
3740.89098,0.029
3740.9389,0.35992
3740.95273,-0.61333
3740.9668,0.05591
3740.97252,-0.61311
3740.97705,0.11614
3741.0109,-0.55117
3741.0233,-0.17318
3741.06693,0.05688
3741.07838,0.15168
3741.08028,-0.08733
3741.12511,0.32479
3741.14156,0.01658
3741.14537,0.11831
3741.15229,-0.00117
3741.27126,0.07889
3741.29629,-0.04446
3741.32252,0.09628
3741.32371,0.09582
3741.33968,-0.46194
3741.37068,1.1239
3741.37092,0.104
3741.37783,-0.67166
3741.38069,-0.35856
3741.39571,0.1324
3741.40596,0.68456
3741.41884,-0.14543
3741.42218,-0.00722
3741.44816,-0.56372
3741.47415,-0.71768
3741.52303,1.43382
3741.52994,0.11275
3741.53113,-0.04116
3741.54902,0.0784
3741.56904,0.15067
3741.62698,-0.27917
3741.63413,-0.73415
3741.63723,0.07865
3741.66012,-0.31437
3741.66107,-0.64875
3741.67824,-0.1836
3741.69135,-0.73262
3741.73641,0.14332
3741.73832,-0.64626
3741.80603,-0.30313
3741.81843,0.12141
3741.83798,-0.57265
3741.84871,0.11928
3741.85801,-0.2648
3741.87064,0.15803
3741.89973,1.48314
3741.90354,-0.08137
3741.94217,0.15904
3741.97459,-0.22333
3741.97555,0.02555
3741.99414,-0.53425
3741.9951,0.09088
3742.0125,0.1102
3742.06614,0.11663
3742.0814,0.1483
3742.10024,0.87649
3742.10787,0.08957
3742.13839,0.15771
3742.1782,0.15312
3742.18559,-0.5944
3742.21921,-0.31375
3742.2328,0.08303
3742.26904,1.51755
3742.2874,0.14503
3742.28787,0.07584
3742.28787,-0.01866
3742.30123,0.09492
3742.30361,0.13925
3742.30742,0.15106
3742.31625,-0.63857
3742.33031,-0.12114
3742.35368,0.13355
3742.36107,0.02881
3742.36941,0.14995
3742.38753,-0.56877
3742.38944,0.29841
3742.40494,0.12664
3742.40756,-0.36798
3742.41424,0.06943
3742.41829,0.06025
3742.43212,-0.28462
3742.44404,0.15877
3742.44857,0.10341
3742.44952,0.15754
3742.45739,-0.0705
3742.47146,0.1589
3742.49124,0.01171
3742.553,0.04837
3742.57827,0.13001
3742.59376,-0.20666
3742.59472,0.15931
3742.62357,-0.43688
3742.64026,0.15803
3742.64669,0.16258
